Customer ID,Account Type,Account Tier,Amount(₦),Transaction Type,Sender's Location,Timestamp,Remark
Customer 118,Corporate,Tier 1,1960.06,Payment for Goods/Services,Port Harcourt,3:19:58,Normal
Customer_Special 03,Individual,Tier 3,774950.68,Payment for Goods/Services,Port Harcourt,18:02:27,Normal
Customer_Special 03,Individual,Tier 3,785541.02,Transfer to a Third-Party,Port Harcourt,13:00:57,Normal
Customer 121,Corporate,Tier 2,39839.54,Transfer to a Third-Party,Ibadan,0:49:27,Normal
Customer 122,Corporate,Tier 2,12226.09,Withdrawal,Port Harcourt,20:59:02,Normal
Customer 123,Individual,Tier 2,11019.09,Withdrawal,Abuja,19:47:21,Normal
Customer 124,Individual,Tier 1,36988.18,Payment for Goods/Services,Abuja,19:27:23,Normal
Customer 125,Individual,Tier 1,13094.93,Payment for Goods/Services,Ibadan,12:16:27,Normal
Customer 126,Individual,Tier 2,22755.23,Payment for Goods/Services,Ibadan,4:06:00,Normal
Customer 127,Individual,Tier 2,16675.48,Transfer to a Third-Party,Ibadan,9:26:13,Normal
Customer 128,Individual,Tier 1,18264.79,Transfer to a Third-Party,Lagos,2:38:24,Normal
Customer 129,Corporate,Tier 1,13571.53,Payment for Goods/Services,Port Harcourt,11:09:41,Normal
Customer 130,Individual,Tier 2,9435.24,Payment for Goods/Services,Enugu,3:28:11,Normal
Customer 131,Corporate,Tier 1,49779.24,Withdrawal,Abuja,14:38:06,Normal
Customer 132,Individual,Tier 2,22349.78,Payment for Goods/Services,Ibadan,6:44:32,Normal
Customer 133,Corporate,Tier 2,15476.71,Payment for Goods/Services,Port Harcourt,7:56:33,Normal
Customer 134,Individual,Tier 1,13318.44,Withdrawal,Abuja,6:20:07,Normal
Customer 135,Individual,Tier 2,22146.93,Payment for Goods/Services,Lagos,22:54:13,Normal
Customer 136,Corporate,Tier 1,30226.16,Withdrawal,Abuja,11:56:04,Normal
Customer 137,Corporate,Tier 1,5806.99,Transfer to a Third-Party,Enugu,7:30:57,Normal
Customer 138,Individual,Tier 1,13573.34,Transfer to a Third-Party,Lagos,7:01:59,Normal
Customer 139,Individual,Tier 2,16190.73,Payment for Goods/Services,Port Harcourt,2:47:26,Normal
Customer 140,Corporate,Tier 2,15337.54,Payment for Goods/Services,Enugu,12:24:47,Normal
Customer 141,Corporate,Tier 1,8880.33,Withdrawal,Ibadan,8:18:37,Normal
Customer 142,Individual,Tier 2,4483.29,Withdrawal,Ibadan,9:27:17,Normal
Customer 143,Corporate,Tier 1,15852.28,Transfer to a Third-Party,Lagos,2:53:07,Normal
Customer 144,Corporate,Tier 2,6381.65,Transfer to a Third-Party,Lagos,9:01:32,Normal
Customer 145,Corporate,Tier 2,1802.67,Payment for Goods/Services,Enugu,17:10:08,Normal
Customer 146,Individual,Tier 2,9831.5,Transfer to a Third-Party,Ibadan,22:16:51,Normal
Customer 147,Corporate,Tier 1,1583.69,Transfer to a Third-Party,Ibadan,9:02:34,Normal
Customer 148,Corporate,Tier 1,27397.64,Transfer to a Third-Party,Lagos,6:43:29,Normal
Customer 149,Individual,Tier 2,39137.37,Transfer to a Third-Party,Port Harcourt,6:38:51,Normal
Customer 150,Corporate,Tier 1,23849.78,Transfer to a Third-Party,Abuja,17:14:12,Normal
Customer 151,Corporate,Tier 2,17033.14,Withdrawal,Abuja,3:17:49,Normal
Customer 152,Corporate,Tier 1,32392.16,Transfer to a Third-Party,Enugu,10:23:43,Normal
Customer 153,Corporate,Tier 2,17735.51,Transfer to a Third-Party,Enugu,13:45:45,Normal
Customer 154,Individual,Tier 2,17109.83,Payment for Goods/Services,Port Harcourt,9:26:33,Normal
Customer 155,Corporate,Tier 2,16176.79,Withdrawal,Enugu,21:19:49,Normal
Customer 156,Individual,Tier 2,29118.43,Withdrawal,Enugu,0:51:28,Normal
Customer 157,Corporate,Tier 2,32436.38,Transfer to a Third-Party,Port Harcourt,17:31:45,Normal
Customer 158,Corporate,Tier 1,24122.6,Transfer to a Third-Party,Abuja,3:16:12,Normal
Customer 159,Individual,Tier 2,32867.91,Transfer to a Third-Party,Ibadan,16:33:45,Normal
Customer 160,Individual,Tier 1,8950.9,Payment for Goods/Services,Enugu,20:25:01,Normal
Customer 161,Corporate,Tier 2,12456.36,Payment for Goods/Services,Ibadan,16:32:40,Normal
Customer 162,Individual,Tier 2,5771.0,Transfer to a Third-Party,Lagos,8:38:23,Normal
Customer 163,Individual,Tier 1,28067.91,Withdrawal,Ibadan,3:37:37,Normal
Customer 164,Individual,Tier 2,50082.82,Payment for Goods/Services,Abuja,15:00:13,Normal
Customer 165,Individual,Tier 1,11838.28,Transfer to a Third-Party,Lagos,6:25:49,Normal
Customer 166,Individual,Tier 2,27975.57,Transfer to a Third-Party,Port Harcourt,20:24:50,Normal
Customer 167,Individual,Tier 2,27752.31,Payment for Goods/Services,Port Harcourt,1:07:49,Normal
Customer 168,Corporate,Tier 1,13287.1,Payment for Goods/Services,Ibadan,2:07:25,Normal
Customer 169,Corporate,Tier 1,9735.78,Payment for Goods/Services,Ibadan,13:58:27,Normal
Customer 170,Corporate,Tier 2,7049.15,Withdrawal,Enugu,14:06:27,Normal
Customer 171,Corporate,Tier 1,18683.33,Withdrawal,Enugu,1:51:20,Normal
Customer 172,Corporate,Tier 1,11767.82,Transfer to a Third-Party,Ibadan,7:21:17,Normal
Customer 173,Corporate,Tier 2,23708.7,Withdrawal,Ibadan,20:11:54,Normal
Customer 174,Individual,Tier 2,16046.42,Transfer to a Third-Party,Lagos,6:03:16,Normal
Customer 175,Corporate,Tier 1,29829.42,Transfer to a Third-Party,Port Harcourt,16:35:46,Normal
Customer 176,Individual,Tier 1,37508.66,Payment for Goods/Services,Ibadan,12:51:44,Normal
Customer 177,Corporate,Tier 2,34903.42,Transfer to a Third-Party,Port Harcourt,14:15:56,Normal
Customer 178,Individual,Tier 1,4593.66,Payment for Goods/Services,Enugu,12:01:56,Normal
Customer 179,Corporate,Tier 2,27625.67,Payment for Goods/Services,Ibadan,10:19:34,Normal
Customer 180,Individual,Tier 2,28133.54,Payment for Goods/Services,Enugu,0:07:05,Normal
Customer 181,Corporate,Tier 1,21257.27,Transfer to a Third-Party,Ibadan,22:55:37,Normal
Customer 182,Corporate,Tier 2,35732.31,Payment for Goods/Services,Port Harcourt,5:09:40,Normal
Customer 183,Individual,Tier 2,44324.96,Transfer to a Third-Party,Enugu,23:44:32,Normal
Customer 184,Individual,Tier 2,8180.59,Transfer to a Third-Party,Ibadan,17:19:56,Normal
Customer 185,Corporate,Tier 2,26451.86,Withdrawal,Abuja,20:59:27,Normal
Customer 186,Corporate,Tier 2,14400.6,Transfer to a Third-Party,Ibadan,13:54:09,Normal
Customer 187,Corporate,Tier 2,15075.37,Withdrawal,Lagos,18:51:16,Normal
Customer 188,Corporate,Tier 1,40310.31,Withdrawal,Lagos,7:40:21,Normal
Customer 189,Individual,Tier 1,10032.75,Transfer to a Third-Party,Port Harcourt,8:02:20,Normal
Customer 190,Corporate,Tier 1,52227.1,Transfer to a Third-Party,Abuja,2:14:56,Normal
Customer 191,Individual,Tier 3,54307.06,Withdrawal,Port Harcourt,11:15:36,Normal
Customer 192,Corporate,Tier 3,11946.33,Payment for Goods/Services,Lagos,12:48:04,Normal
Customer 193,Corporate,Tier 1,44401.62,Transfer to a Third-Party,Abuja,1:35:00,Normal
Customer 194,Corporate,Tier 2,22661.33,Payment for Goods/Services,Enugu,11:56:13,Normal
Customer 195,Corporate,Tier 1,32745.5,Transfer to a Third-Party,Abuja,9:01:58,Normal
Customer 196,Corporate,Tier 3,29917.02,Transfer to a Third-Party,Port Harcourt,2:01:22,Normal
Customer 197,Corporate,Tier 1,16803.18,Transfer to a Third-Party,Enugu,21:22:06,Normal
Customer 198,Individual,Tier 2,25711.1,Withdrawal,Port Harcourt,7:36:17,Normal
Customer 199,Individual,Tier 1,7295.0,Payment for Goods/Services,Lagos,18:39:11,Normal
Customer_Special 04,Individual,Tier 3,734060.35,Transfer to a Third-Party,Ibadan,8:00:55,Normal
Customer 201,Individual,Tier 1,38643.57,Payment for Goods/Services,Port Harcourt,13:21:21,Normal
Customer 202,Corporate,Tier 2,9147.39,Payment for Goods/Services,Lagos,3:04:45,Normal
Customer 203,Individual,Tier 2,12303.55,Payment for Goods/Services,Enugu,10:51:49,Normal
Customer 204,Corporate,Tier 1,10847.28,Transfer to a Third-Party,Enugu,17:19:25,Normal
Customer 205,Corporate,Tier 1,5281.32,Withdrawal,Enugu,15:24:03,Normal
Customer 206,Corporate,Tier 2,30635.36,Payment for Goods/Services,Abuja,4:14:24,Normal
Customer 207,Individual,Tier 2,3171.13,Transfer to a Third-Party,Port Harcourt,2:58:41,Normal
Customer 208,Individual,Tier 2,34411.61,Withdrawal,Ibadan,8:17:38,Normal
Customer 209,Corporate,Tier 2,14060.04,Withdrawal,Ibadan,9:04:36,Normal
Customer 210,Corporate,Tier 1,8871.19,Payment for Goods/Services,Abuja,13:30:37,Normal
Customer 211,Corporate,Tier 2,13798634.15,Withdrawal,Abuja,15:01:58,Suspicious
Customer 212,Corporate,Tier 2,14321.59,Payment for Goods/Services,Abuja,5:33:48,Normal
Customer 213,Individual,Tier 1,9950.7,Transfer to a Third-Party,Abuja,16:27:09,Normal
Customer 214,Corporate,Tier 2,36188.8,Payment for Goods/Services,Port Harcourt,23:10:46,Normal
Customer 215,Individual,Tier 1,19639.57,Transfer to a Third-Party,Abuja,14:19:40,Normal
Customer 216,Corporate,Tier 1,7355.73,Transfer to a Third-Party,Enugu,6:03:37,Normal
Customer 217,Individual,Tier 1,26949.8,Payment for Goods/Services,Enugu,5:22:08,Normal
Customer 218,Corporate,Tier 1,4105.24,Withdrawal,Ibadan,12:36:59,Normal
Customer 219,Individual,Tier 1,9985.1,Payment for Goods/Services,Ibadan,13:09:28,Normal
Customer 220,Individual,Tier 2,27199.51,Payment for Goods/Services,Abuja,19:02:48,Normal
Customer 221,Individual,Tier 2,19727.73,Withdrawal,Abuja,3:03:07,Normal
Customer 222,Corporate,Tier 2,30924.79,Withdrawal,Port Harcourt,10:50:25,Normal
Customer 223,Corporate,Tier 1,20205.9,Withdrawal,Port Harcourt,18:12:44,Normal
Customer 224,Corporate,Tier 1,5596.83,Payment for Goods/Services,Ibadan,19:40:26,Normal
Customer 225,Corporate,Tier 3,74013.04,Withdrawal,Ibadan,3:16:23,Normal
Customer 226,Individual,Tier 2,11873.99,Payment for Goods/Services,Port Harcourt,18:39:46,Normal
Customer 227,Individual,Tier 2,38229.36,Transfer to a Third-Party,Abuja,10:48:41,Normal
Customer 228,Individual,Tier 2,6523.6,Withdrawal,Lagos,2:50:34,Normal
Customer 229,Individual,Tier 2,41022.62,Payment for Goods/Services,Enugu,0:12:15,Normal
Customer 230,Individual,Tier 1,9939.5,Payment for Goods/Services,Abuja,14:37:03,Normal
Customer 231,Corporate,Tier 2,16549.22,Transfer to a Third-Party,Enugu,3:18:01,Normal
Customer 232,Individual,Tier 1,18587.71,Withdrawal,Ibadan,16:26:56,Normal
Customer 233,Corporate,Tier 1,6960.49,Transfer to a Third-Party,Lagos,22:44:42,Normal
Customer 234,Corporate,Tier 2,6778.77,Payment for Goods/Services,Lagos,16:40:19,Normal
Customer 235,Corporate,Tier 2,7620.72,Payment for Goods/Services,Port Harcourt,7:27:42,Normal
Customer 236,Corporate,Tier 2,37379.78,Transfer to a Third-Party,Abuja,3:43:01,Normal
Customer 237,Individual,Tier 1,10572.61,Payment for Goods/Services,Abuja,15:35:48,Normal
Customer 238,Individual,Tier 2,23008.59,Withdrawal,Abuja,17:01:40,Normal
Customer 239,Corporate,Tier 2,23463.03,Transfer to a Third-Party,Lagos,4:55:25,Normal
Customer 240,Corporate,Tier 1,14943.8,Payment for Goods/Services,Port Harcourt,23:02:06,Normal
Customer 241,Corporate,Tier 2,25180.86,Payment for Goods/Services,Lagos,22:20:36,Normal
Customer 242,Individual,Tier 2,31546.29,Withdrawal,Enugu,0:40:16,Normal
Customer_Special 05,Individual,Tier 3,647628.74,Payment for Goods/Services,Ibadan,7:31:31,Normal
Customer 244,Corporate,Tier 3,2177.29,Payment for Goods/Services,Port Harcourt,7:37:40,Normal
Customer 245,Individual,Tier 2,5512.74,Payment for Goods/Services,Lagos,11:58:02,Normal
Customer 246,Individual,Tier 2,27201.27,Payment for Goods/Services,Ibadan,18:44:47,Normal
Customer 247,Individual,Tier 2,48139.71,Transfer to a Third-Party,Port Harcourt,5:18:19,Normal
Customer 248,Corporate,Tier 2,9734.6,Transfer to a Third-Party,Port Harcourt,15:40:36,Normal
Customer 249,Corporate,Tier 2,20566.78,Transfer to a Third-Party,Enugu,21:23:46,Normal
Customer 250,Individual,Tier 1,14508.45,Withdrawal,Abuja,3:17:38,Normal
Customer 251,Corporate,Tier 2,16594.53,Withdrawal,Lagos,5:56:06,Normal
Customer 252,Corporate,Tier 1,19168.45,Payment for Goods/Services,Abuja,23:40:30,Normal
Customer 253,Individual,Tier 2,24617.82,Payment for Goods/Services,Lagos,16:01:17,Normal
Customer 254,Corporate,Tier 2,30354.17,Payment for Goods/Services,Enugu,15:16:34,Normal
Customer 255,Individual,Tier 2,19725.91,Withdrawal,Abuja,2:15:36,Normal
Customer 256,Individual,Tier 2,7533.47,Transfer to a Third-Party,Enugu,11:41:55,Normal
Customer 257,Corporate,Tier 2,17184.65,Payment for Goods/Services,Enugu,19:36:33,Normal
Customer 258,Corporate,Tier 2,12860.16,Withdrawal,Abuja,5:53:34,Normal
Customer 259,Corporate,Tier 2,8881.92,Transfer to a Third-Party,Port Harcourt,12:26:42,Normal
Customer 260,Corporate,Tier 1,11399.1,Payment for Goods/Services,Enugu,0:08:51,Normal
Customer 261,Individual,Tier 1,22433.84,Transfer to a Third-Party,Port Harcourt,15:50:39,Normal
Customer 262,Individual,Tier 2,15301.64,Payment for Goods/Services,Ibadan,0:57:36,Normal
Customer 263,Corporate,Tier 2,15563.17,Withdrawal,Port Harcourt,10:22:43,Normal
Customer 264,Corporate,Tier 1,6787.64,Withdrawal,Enugu,5:19:46,Normal
Customer 265,Corporate,Tier 1,49088.52,Payment for Goods/Services,Enugu,10:45:41,Normal
Customer 266,Individual,Tier 1,1671.99,Withdrawal,Ibadan,1:46:04,Normal
Customer 267,Individual,Tier 1,14547.16,Transfer to a Third-Party,Ibadan,16:54:51,Normal
Customer 268,Corporate,Tier 1,55693.19,Withdrawal,Abuja,19:55:55,Normal
Customer 269,Individual,Tier 1,12089.92,Payment for Goods/Services,Port Harcourt,10:18:12,Normal
Customer 270,Individual,Tier 1,48318.18,Transfer to a Third-Party,Enugu,7:57:27,Normal
Customer 271,Individual,Tier 2,36631.48,Payment for Goods/Services,Port Harcourt,21:19:03,Normal
Customer 272,Individual,Tier 1,22723.27,Transfer to a Third-Party,Enugu,5:54:09,Normal
Customer 273,Corporate,Tier 3,9451.89,Payment for Goods/Services,Lagos,12:26:10,Normal
Customer 274,Individual,Tier 2,16453.15,Transfer to a Third-Party,Abuja,12:24:19,Normal
Customer 275,Corporate,Tier 1,20213.28,Withdrawal,Ibadan,17:42:47,Normal
Customer 276,Individual,Tier 1,17792.56,Payment for Goods/Services,Port Harcourt,5:50:53,Normal
Customer 277,Individual,Tier 2,23272.38,Transfer to a Third-Party,Abuja,8:04:57,Normal
Customer 278,Corporate,Tier 1,48494.98,Transfer to a Third-Party,Port Harcourt,10:54:38,Normal
Customer 279,Individual,Tier 3,24713.57,Withdrawal,Ibadan,7:34:18,Normal
Customer 280,Corporate,Tier 2,6617.56,Withdrawal,Port Harcourt,8:35:44,Normal
Customer 281,Individual,Tier 2,12744.94,Withdrawal,Ibadan,6:21:28,Normal
Customer 282,Individual,Tier 3,26808.94,Withdrawal,Abuja,9:04:01,Normal
Customer 283,Corporate,Tier 2,13054.26,Payment for Goods/Services,Lagos,17:21:13,Normal
Customer_Special 05,Individual,Tier 3,651312.0,Withdrawal,Ibadan,6:18:10,Normal
Customer 285,Individual,Tier 3,14411.14,Withdrawal,Port Harcourt,21:11:02,Normal
Customer 286,Corporate,Tier 3,27151.31,Transfer to a Third-Party,Enugu,15:30:17,Normal
Customer 287,Individual,Tier 2,23174.51,Transfer to a Third-Party,Port Harcourt,18:16:03,Normal
Customer 288,Corporate,Tier 1,23921.86,Payment for Goods/Services,Ibadan,12:44:56,Normal
Customer 289,Individual,Tier 1,46993.33,Payment for Goods/Services,Ibadan,10:39:58,Normal
Customer 290,Individual,Tier 1,71454.33,Transfer to a Third-Party,Abuja,20:53:30,Normal
Customer 291,Corporate,Tier 3,4489.67,Transfer to a Third-Party,Port Harcourt,7:48:50,Normal
Customer 292,Corporate,Tier 1,14688.22,Withdrawal,Lagos,21:21:31,Normal
